<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.18	04:00:00	1.13244	1.13380	1.13242	1.13279	5229	0	1
2021.11.18	06:00:00	1.13279	1.13306	1.13157	1.13183	4077	0	1
2021.11.18	08:00:00	1.13183	1.13386	1.13138	1.13349	5293	0	50
2021.11.18	10:00:00	1.13348	1.13399	1.13240	1.13318	7178	0	50
2021.11.18	12:00:00	1.13318	1.13476	1.13287	1.13444	5769	0	50
2021.11.18	14:00:00	1.13444	1.13485	1.13277	1.13345	7721	0	50
2021.11.18	16:00:00	1.13345	1.13591	1.13267	1.13484	12160	0	50
2021.11.18	18:00:00	1.13478	1.13740	1.13465	1.13699	7526	0	50
2021.11.18	20:00:00	1.13699	1.13741	1.13666	1.13705	3992	0	1
2021.11.18	22:00:00	1.13705	1.13735	1.13688	1.13704	3949	0	1
2021.11.19	00:00:00	1.13686	1.13724	1.13668	1.13673	1491	0	6
2021.11.19	02:00:00	1.13677	1.13691	1.13558	1.13565	3994	0	1
2021.11.19	04:00:00	1.13565	1.13573	1.13520	1.13551	2324	0	1
2021.11.19	06:00:00	1.13550	1.13582	1.13519	1.13526	2070	0	1
2021.11.19	08:00:00	1.13528	1.13608	1.13436	1.13437	4351	0	50
2021.11.19	10:00:00	1.13434	1.13453	1.12826	1.12996	14350	0	50
2021.11.19	12:00:00	1.12996	1.13051	1.12837	1.12899	12482	0	50
2021.11.19	14:00:00	1.12902	1.12975	1.12498	1.12877	13074	0	50
2021.11.19	16:00:00	1.12879	1.13214	1.12875	1.13178	15951	0	50
2021.11.19	18:00:00	1.13177	1.13222	1.12922	1.12984	9652	0	50
2021.11.19	20:00:00	1.12983	1.13027	1.12854	1.12896	7471	0	1
2021.11.19	22:00:00	1.12895	1.12919	1.12829	1.12829	2996	0	1
2021.11.22	00:00:00	1.12884	1.12893	1.12712	1.12750	2014	0	6
2021.11.22	02:00:00	1.12759	1.12898	1.12649	1.12724	5896	0	1
2021.11.22	04:00:00	1.12724	1.12772	1.12648	1.12708	5276	0	1
2021.11.22	06:00:00	1.12708	1.12787	1.12698	1.12778	3733	0	1
2021.11.22	08:00:00	1.12778	1.12785	1.12601	1.12603	7738	0	50
2021.11.22	10:00:00	1.12603	1.12878	1.12601	1.12800	9152	0	50
2021.11.22	12:00:00	1.12800	1.12901	1.12656	1.12768	7532	0	50
2021.11.22	14:00:00	1.12769	1.12826	1.12721	1.12802	7892	0	50
2021.11.22	16:00:00	1.12801	1.12802	1.12359	1.12467	16401	0	50
2021.11.22	18:00:00	1.12468	1.12655	1.12455	1.12484	7895	0	50
2021.11.22	20:00:00	1.12485	1.12501	1.12309	1.12318	4380	0	1
2021.11.22	22:00:00	1.12318	1.12389	1.12307	1.12364	3758	0	1
2021.11.23	00:00:00	1.12362	1.12413	1.12317	1.12413	1899	0	6
2021.11.23	02:00:00	1.12416	1.12439	1.12367	1.12373	2275	0	1
2021.11.23	04:00:00	1.12373	1.12414	1.12260	1.12372	3327	0	1
2021.11.23	06:00:00	1.12373	1.12401	1.12315	1.12342	2124	0	1
2021.11.23	08:00:00	1.12342	1.12643	1.12320	1.12530	8113	0	50
