Gmt time,Open,High,Low,Close,Volume
02.12.2019 00:00:00.000,1.10182,1.10907,1.10029,1.10761,133215.3281
03.12.2019 00:00:00.000,1.10760,1.10934,1.10660,1.10818,129714.0313
04.12.2019 00:00:00.000,1.10819,1.11161,1.10666,1.10827,151487.5781
05.12.2019 00:00:00.000,1.10824,1.11080,1.10793,1.11038,123792.3047
06.12.2019 00:00:00.000,1.11039,1.11097,1.10398,1.10543,120864.6094
08.12.2019 00:00:00.000,1.10580,1.10604,1.10562,1.10582,1990.83
09.12.2019 00:00:00.000,1.10581,1.10779,1.10533,1.10643,109027.3906
10.12.2019 00:00:00.000,1.10642,1.10977,1.10628,1.10923,129542.9609
11.12.2019 00:00:00.000,1.10923,1.11448,1.10701,1.11325,144933.3125
12.12.2019 00:00:00.000,1.11326,1.11995,1.11029,1.11833,192578.1094
13.12.2019 00:00:00.000,1.11833,1.11860,1.11120,1.11174,211781.3281
15.12.2019 00:00:00.000,1.11280,1.11309,1.11225,1.11242,4374.1548
16.12.2019 00:00:00.000,1.11241,1.11581,1.11229,1.11355,151090.5625
17.12.2019 00:00:00.000,1.11355,1.11746,1.11293,1.11514,151614.5313
18.12.2019 00:00:00.000,1.11512,1.11512,1.11105,1.11154,146608.2656
19.12.2019 00:00:00.000,1.11154,1.11442,1.11072,1.11231,157736.0938
20.12.2019 00:00:00.000,1.11231,1.11236,1.10662,1.10769,130731.8906
22.12.2019 00:00:00.000,1.10810,1.10813,1.10766,1.10802,2560.48
23.12.2019 00:00:00.000,1.10801,1.10958,1.10699,1.10917,108289.4297
24.12.2019 00:00:00.000,1.10918,1.10938,1.10690,1.10873,80970.6797
25.12.2019 00:00:00.000,1.10873,1.10953,1.10730,1.10944,4887.3101
26.12.2019 00:00:00.000,1.10944,1.11088,1.10821,1.11012,52487.6328
27.12.2019 00:00:00.000,1.11013,1.11883,1.10987,1.11713,124575.9063
29.12.2019 00:00:00.000,1.11736,1.11839,1.11718,1.11813,3216.4995
30.12.2019 00:00:00.000,1.11812,1.12207,1.11806,1.12013,130773.875
31.12.2019 00:00:00.000,1.12013,1.12391,1.11987,1.12072,107777.3125
01.01.2020 00:00:00.000,1.12120,1.12218,1.12106,1.12188,2621.3201
02.01.2020 00:00:00.000,1.12188,1.12245,1.11635,1.11708,487219.125
03.01.2020 00:00:00.000,1.11707,1.11798,1.11249,1.11548,177406.7969
05.01.2020 00:00:00.000,1.11656,1.11677,1.11589,1.11604,4398.1001
06.01.2020 00:00:00.000,1.11603,1.12055,1.11571,1.11954,139965.2813
07.01.2020 00:00:00.000,1.11953,1.11970,1.11335,1.11540,155594.0938
08.01.2020 00:00:00.000,1.11539,1.11682,1.11016,1.11129,195256.9531
09.01.2020 00:00:00.000,1.11130,1.11204,1.10924,1.11093,142852.25
10.01.2020 00:00:00.000,1.11092,1.11291,1.10850,1.11165,126780.2344
12.01.2020 00:00:00.000,1.11141,1.11209,1.11128,1.11161,1889.078
13.01.2020 00:00:00.000,1.11161,1.11469,1.11125,1.11344,121460.7891
14.01.2020 00:00:00.000,1.11344,1.11444,1.11045,1.11275,137175.0156
15.01.2020 00:00:00.000,1.11276,1.11634,1.11185,1.11524,149733.3906
16.01.2020 00:00:00.000,1.11524,1.11727,1.11279,1.11368,132785.0625
17.01.2020 00:00:00.000,1.11368,1.11425,1.10862,1.10890,123846.6094
19.01.2020 00:00:00.000,1.10910,1.10948,1.10889,1.10946,3275.47
20.01.2020 00:00:00.000,1.10946,1.11023,1.10766,1.10962,97595.1719
21.01.2020 00:00:00.000,1.10963,1.11179,1.10809,1.10851,133266.4375
22.01.2020 00:00:00.000,1.10851,1.10984,1.10700,1.10957,134188.8125
